county,month,labor_force,employed,unemployed,unemployment_rate
Ulster,1990-04,84200,81400,2800,3.3
Warren,1990-04,29800,28100,1800,6.0
Washington,1990-04,27500,26100,1400,5.3
Wayne,1990-04,46100,43600,2500,5.3
Westchester,1990-04,469600,454900,14700,3.1
Wyoming,1990-04,19800,18700,1100,5.8
Yates,1990-04,11000,10500,500,4.7
Albany,1990-05,158500,154400,4100,2.6
Allegany,1990-05,22800,21400,1400,6.3
Bronx,1990-05,461900,424600,37300,8.1
Broome,1990-05,105500,101300,4200,4.0
Cattaraugus,1990-05,39100,36800,2300,5.9
Cayuga,1990-05,38900,36800,2200,5.5
Chautauqua,1990-05,68700,65200,3500,5.1
Chemung,1990-05,43900,41800,2000,4.6
Chenango,1990-05,25500,24200,1200,4.9
Clinton,1990-05,39300,37100,2200,5.6
Columbia,1990-05,31700,30800,900,2.8
Cortland,1990-05,25000,23400,1600,6.4
Delaware,1990-05,22000,20900,1100,5.0
Dutchess,1990-05,134000,130300,3700,2.8
Erie,1990-05,478300,455700,22600,4.7
Essex,1990-05,18000,16500,1500,8.3
Franklin,1990-05,21000,19300,1700,7.9
Fulton,1990-05,26900,25000,1900,7.1
Genesee,1990-05,31400,29900,1400,4.6
Greene,1990-05,20600,19500,1000,5.0
Hamilton,1990-05,2700,2500,200,8.5
Herkimer,1990-05,30400,28700,1700,5.5
Jefferson,1990-05,48000,44300,3700,7.7
Kings,1990-05,963000,892000,71000,7.4
Lewis,1990-05,12600,11800,800,6.5
Livingston,1990-05,32300,31100,1200,3.9
Madison,1990-05,35100,33500,1600,4.5
Monroe,1990-05,378800,366800,12100,3.2
Montgomery,1990-05,24600,22900,1600,6.6
Nassau,1990-05,702500,677300,25200,3.6
New York,1990-05,782100,739700,42500,5.4
Niagara,1990-05,109000,103700,5300,4.8
Oneida,1990-05,115300,110700,4600,4.0
Onondaga,1990-05,243300,234400,8900,3.7
Ontario,1990-05,50800,49000,1800,3.5
Orange,1990-05,151800,145700,6200,4.1
Orleans,1990-05,19800,18600,1200,6.1
Oswego,1990-05,57100,53400,3700,6.5
Otsego,1990-05,30100,28800,1300,4.3
Putnam,1990-05,48000,46500,1500,3.2
Queens,1990-05,957100,902500,54700,5.7
Rensselaer,1990-05,81700,78700,3000,3.6
Richmond,1990-05,180900,170800,10100,5.6
Rockland,1990-05,144600,140300,4300,3.0
Saratoga,1990-05,97100,93900,3300,3.4
Schenectady,1990-05,75500,72900,2600,3.5
Schoharie,1990-05,15100,14500,600,4.2
Schuyler,1990-05,9200,8800,500,4.9
Seneca,1990-05,16500,15800,700,4.2
St. Lawrence,1990-05,49700,45900,3800,7.6
Steuben,1990-05,47000,44900,2100,4.6
Suffolk,1990-05,710600,682300,28300,4.0
Sullivan,1990-05,33200,31800,1400,4.2
Tioga,1990-05,26400,25300,1100,4.1
Tompkins,1990-05,49600,47700,1900,3.8
Ulster,1990-05,84300,81700,2600,3.1
Warren,1990-05,30700,28900,1700,5.6
Washington,1990-05,28300,26900,1400,5.0
Wayne,1990-05,46400,44300,2100,4.5
Westchester,1990-05,471700,456400,15200,3.2
Wyoming,1990-05,20100,19100,900,4.7
Yates,1990-05,11300,10900,400,3.7
Albany,1990-06,161700,157800,4000,2.5
Allegany,1990-06,22300,21000,1300,5.8
Bronx,1990-06,465500,429400,36100,7.8
Broome,1990-06,106900,103000,3900,3.6
Cattaraugus,1990-06,39400,37300,2100,5.3
Cayuga,1990-06,39600,37600,2000,5.1
Chautauqua,1990-06,69400,65900,3500,5.0
Chemung,1990-06,44800,42800,1900,4.3
Chenango,1990-06,26000,24700,1200,4.7
Clinton,1990-06,40100,38000,2100,5.2
Columbia,1990-06,32600,31700,900,2.7
Cortland,1990-06,25100,23600,1400,5.8
Delaware,1990-06,22200,21300,900,4.0
Dutchess,1990-06,135900,132600,3400,2.5
Erie,1990-06,488500,465800,22800,4.7
Essex,1990-06,18700,17600,1100,5.9
Franklin,1990-06,21200,19900,1300,6.1
Fulton,1990-06,27500,25700,1800,6.4
Genesee,1990-06,31900,30500,1400,4.4
Greene,1990-06,21800,20900,900,3.9
Hamilton,1990-06,2800,2700,100,4.4
Herkimer,1990-06,30900,29400,1500,4.8
Jefferson,1990-06,49300,46100,3200,6.6
Kings,1990-06,968500,902200,66300,6.8
Lewis,1990-06,12900,12200,700,5.4
Livingston,1990-06,32700,31700,1100,3.3
Madison,1990-06,35700,34200,1500,4.1
Monroe,1990-06,385200,373900,11300,2.9
Montgomery,1990-06,25000,23400,1500,6.1
Nassau,1990-06,721100,694700,26400,3.7
New York,1990-06,789200,748100,41100,5.2
Niagara,1990-06,111300,106000,5300,4.8
Oneida,1990-06,117800,113300,4500,3.9
Onondaga,1990-06,247300,239300,8000,3.3
Ontario,1990-06,51700,49900,1700,3.4
Orange,1990-06,157200,150900,6300,4.0
Orleans,1990-06,20100,18900,1200,6.0
Oswego,1990-06,58000,54600,3400,5.9
Otsego,1990-06,30100,28900,1200,4.0
Putnam,1990-06,49600,48000,1600,3.2
Queens,1990-06,964500,912700,51700,5.4
Rensselaer,1990-06,83300,80400,2900,3.4
Richmond,1990-06,182900,172700,10100,5.5
Rockland,1990-06,148500,143700,4700,3.2
Saratoga,1990-06,98800,95900,2900,2.9
Schenectady,1990-06,76800,74500,2400,3.1
Schoharie,1990-06,15400,14800,600,4.2
Schuyler,1990-06,9500,9100,400,4.5
Seneca,1990-06,17100,16400,700,3.9
St. Lawrence,1990-06,49500,46100,3300,6.7
Steuben,1990-06,47700,45600,2100,4.4
Suffolk,1990-06,728700,699800,29000,4.0
Sullivan,1990-06,35000,33700,1300,3.6
Tioga,1990-06,26700,25800,900,3.5
Tompkins,1990-06,49200,47700,1500,3.0
Ulster,1990-06,87200,84400,2700,3.1
Warren,1990-06,32600,31200,1400,4.2
Washington,1990-06,30400,29000,1400,4.7
Wayne,1990-06,47100,45100,2000,4.2
Westchester,1990-06,484900,469700,15200,3.1
Wyoming,1990-06,20500,19700,900,4.3
Yates,1990-06,11700,11200,500,4.2
Albany,1990-07,163000,158600,4400,2.7
Allegany,1990-07,21400,20200,1200,5.7
Bronx,1990-07,465900,426600,39300,8.4
Broome,1990-07,107200,103300,3900,3.6
Cattaraugus,1990-07,39500,37300,2200,5.5
Cayuga,1990-07,40100,38000,2100,5.1
Chautauqua,1990-07,70500,67000,3500,5.0
Chemung,1990-07,45000,43100,1900,4.3
Chenango,1990-07,26100,24800,1300,5.0
Clinton,1990-07,40200,38200,2000,4.9
Columbia,1990-07,33000,32000,1000,3.1
Cortland,1990-07,24700,23300,1400,5.7
Delaware,1990-07,22200,21300,900,4.1
Dutchess,1990-07,137500,133900,3600,2.6
Erie,1990-07,494600,469200,25400,5.1
Essex,1990-07,20600,19700,1000,4.7
Franklin,1990-07,21200,19900,1300,6.3
Fulton,1990-07,27100,24900,2100,7.9
Genesee,1990-07,32000,30600,1300,4.2
Greene,1990-07,22200,21400,800,3.7
Hamilton,1990-07,3000,2900,100,3.3
Herkimer,1990-07,31500,29900,1600,5.1
Jefferson,1990-07,50000,46900,3100,6.3
Kings,1990-07,970900,896300,74600,7.7
Lewis,1990-07,12700,12100,700,5.2
Livingston,1990-07,33000,31800,1200,3.6
Madison,1990-07,36100,34700,1500,4.0
Monroe,1990-07,388300,375500,12700,3.3
Montgomery,1990-07,25100,23600,1500,6.1
Nassau,1990-07,726400,697100,29300,4.0
New York,1990-07,788600,743200,45400,5.8
Niagara,1990-07,112500,106800,5700,5.1
Oneida,1990-07,119800,115200,4600,3.9
Onondaga,1990-07,250200,242300,7900,3.2
Ontario,1990-07,51900,50100,1800,3.4
Orange,1990-07,161200,154600,6600,4.1
Orleans,1990-07,20200,19000,1200,6.0
Oswego,1990-07,58700,55200,3500,5.9
Otsego,1990-07,30200,29000,1200,4.0
Putnam,1990-07,50700,49000,1700,3.3
Queens,1990-07,965600,906800,58800,6.1
Rensselaer,1990-07,83900,80900,3000,3.6
Richmond,1990-07,183300,171600,11700,6.4
Rockland,1990-07,150600,145200,5300,3.5
Saratoga,1990-07,99300,96400,2900,2.9
Schenectady,1990-07,77500,74800,2700,3.5
Schoharie,1990-07,15500,14900,600,4.1
Schuyler,1990-07,9900,9500,400,4.2
Seneca,1990-07,16900,16300,700,3.9
St. Lawrence,1990-07,49700,46500,3100,6.3
Steuben,1990-07,47500,45400,2100,4.5
Suffolk,1990-07,736400,702100,34200,4.6
Sullivan,1990-07,37400,36100,1300,3.4
Tioga,1990-07,26800,25900,1000,3.7
Tompkins,1990-07,50500,49000,1500,2.9
Ulster,1990-07,87800,84700,3100,3.5
Warren,1990-07,34000,32700,1300,3.8
Washington,1990-07,31800,30400,1400,4.3
Wayne,1990-07,47500,45300,2100,4.5
Westchester,1990-07,495300,478300,17000,3.4
Wyoming,1990-07,20900,20000,900,4.5
Yates,1990-07,11600,11000,500,4.7
Albany,1990-08,161900,157500,4400,2.7
Allegany,1990-08,21300,20200,1100,5.1
Bronx,1990-08,463400,424600,38800,8.4
Broome,1990-08,106300,102600,3700,3.5
Cattaraugus,1990-08,38900,36900,2000,5.1
Cayuga,1990-08,39700,37700,2100,5.3
Chautauqua,1990-08,70900,67600,3300,4.6
Chemung,1990-08,44500,42700,1800,4.0
Chenango,1990-08,25600,24500,1100,4.3
Clinton,1990-08,39900,38000,1900,4.8
Columbia,1990-08,32800,31900,900,2.7
Cortland,1990-08,24200,22800,1400,5.7
Delaware,1990-08,21700,20900,800,3.8
Dutchess,1990-08,135600,131800,3800,2.8
Erie,1990-08,490200,465700,24500,5.0
Essex,1990-08,20300,19400,900,4.6
Franklin,1990-08,20800,19700,1200,5.5
Fulton,1990-08,27000,25100,1900,7.0
Genesee,1990-08,31400,30300,1100,3.5
Greene,1990-08,22100,21300,800,3.8
Hamilton,1990-08,3100,3000,100,3.2
Herkimer,1990-08,31000,29600,1400,4.5
Jefferson,1990-08,48800,46000,2900,5.9
Kings,1990-08,964200,892200,72100,7.5
Lewis,1990-08,12600,12000,600,5.1
Livingston,1990-08,32400,31400,1000,3.1
Madison,1990-08,35600,34300,1300,3.7
Monroe,1990-08,383600,371400,12100,3.2
Montgomery,1990-08,24600,23400,1200,5.0
Nassau,1990-08,714100,685700,28400,4.0
New York,1990-08,783900,739800,44100,5.6
Niagara,1990-08,111700,106000,5700,5.1
Oneida,1990-08,118300,114000,4200,3.6
Onondaga,1990-08,247500,239800,7700,3.1
Ontario,1990-08,51300,49600,1700,3.2
Orange,1990-08,159600,153000,6600,4.2
Orleans,1990-08,19900,18800,1100,5.7
Oswego,1990-08,57700,54700,3000,5.2
Otsego,1990-08,29800,28700,1100,3.8
Putnam,1990-08,51300,49600,1700,3.3
Queens,1990-08,957800,902600,55200,5.8
Rensselaer,1990-08,83300,80300,3000,3.6
Richmond,1990-08,182300,170800,11500,6.3
Rockland,1990-08,150100,144700,5400,3.6
Saratoga,1990-08,98500,95800,2800,2.8
Schenectady,1990-08,77100,74400,2700,3.5
Schoharie,1990-08,15300,14800,600,3.8
Schuyler,1990-08,9800,9400,400,3.9
Seneca,1990-08,16800,16200,600,3.7
St. Lawrence,1990-08,49200,46300,3000,6.0
Steuben,1990-08,47300,45300,1900,4.1
Suffolk,1990-08,724600,690700,33900,4.7
Sullivan,1990-08,37600,36300,1300,3.4
Tioga,1990-08,26500,25700,900,3.3
Tompkins,1990-08,49400,48000,1400,2.8
Ulster,1990-08,86800,83700,3100,3.6
Warren,1990-08,33600,32400,1200,3.7
Washington,1990-08,31500,30100,1400,4.4
Wayne,1990-08,46600,44900,1800,3.8
Westchester,1990-08,486600,468000,18600,3.8
Wyoming,1990-08,20600,19700,900,4.2
Yates,1990-08,11300,10800,500,4.5
Albany,1990-09,158300,153400,4900,3.1
Allegany,1990-09,22100,20800,1300,5.9
Bronx,1990-09,458100,417800,40300,8.8
Broome,1990-09,105400,101400,4000,3.8
Cattaraugus,1990-09,38700,36500,2200,5.6
Cayuga,1990-09,39000,37000,2100,5.3
Chautauqua,1990-09,68600,65000,3500,5.1
Chemung,1990-09,44100,41900,2200,4.9
Chenango,1990-09,24900,23700,1100,4.5
Clinton,1990-09,39500,37600,2000,5.0
Columbia,1990-09,31500,30600,900,2.8
Cortland,1990-09,24300,22900,1400,5.6
Delaware,1990-09,21500,20500,900,4.4
Dutchess,1990-09,133200,128900,4300,3.2
Erie,1990-09,479200,455400,23800,5.0
Essex,1990-09,17900,17000,900,5.2
Franklin,1990-09,20300,19100,1200,6.0
Fulton,1990-09,26600,24300,2200,8.4
Genesee,1990-09,31100,29800,1300,4.1
Greene,1990-09,21500,20700,800,3.9
Hamilton,1990-09,2700,2600,100,4.6
Herkimer,1990-09,29900,28600,1300,4.4
Jefferson,1990-09,46800,43900,2900,6.2
Kings,1990-09,953800,877700,76100,8.0
Lewis,1990-09,12200,11600,600,5.3
Livingston,1990-09,32100,30900,1100,3.5
Madison,1990-09,35100,33700,1300,3.8
Monroe,1990-09,378700,365400,13300,3.5
Montgomery,1990-09,24200,22800,1400,5.7
Nassau,1990-09,699100,668800,30200,4.3
New York,1990-09,776800,727800,49000,6.3
Niagara,1990-09,108500,103600,4800,4.5
Oneida,1990-09,114600,110100,4400,3.9
Onondaga,1990-09,244700,235600,9100,3.7
Ontario,1990-09,50600,48800,1800,3.6
Orange,1990-09,154400,147900,6500,4.2
Orleans,1990-09,19400,18500,900,4.8
Oswego,1990-09,56900,53700,3200,5.6
Otsego,1990-09,30100,28900,1200,4.0
Putnam,1990-09,47900,46200,1700,3.5
Queens,1990-09,945800,888000,57800,6.1
Rensselaer,1990-09,81400,78200,3200,3.9
Richmond,1990-09,179400,168000,11400,6.4
Rockland,1990-09,144900,139400,5500,3.8
Saratoga,1990-09,96500,93300,3300,3.4
Schenectady,1990-09,75400,72400,3000,4.0
Schoharie,1990-09,15000,14400,600,4.0
Schuyler,1990-09,9400,9000,400,4.1
Seneca,1990-09,16300,15600,700,4.1
St. Lawrence,1990-09,49800,46600,3200,6.4
Steuben,1990-09,46200,44100,2100,4.5
