county,month,enrollment
Chemung,2019-03,25435
Chenango,2019-03,13901
Clinton,2019-03,19710
Columbia,2019-03,14540
Cortland,2019-03,11846
Delaware,2019-03,10313
Dutchess,2019-03,56341
Erie,2019-03,235753
Essex,2019-03,8362
Franklin,2019-03,14268
Fulton,2019-03,14673
Genesee,2019-03,12594
Greene,2019-03,12222
Hamilton,2019-03,772
Herkimer,2019-03,16059
Jefferson,2019-03,28512
Kings,2019-03,1161057
Lewis,2019-03,5198
Livingston,2019-03,11847
Madison,2019-03,15922
Monroe,2019-03,195866
Montgomery,2019-03,18120
Nassau,2019-03,253815
New York,2019-03,438710
Niagara,2019-03,53017
Oneida,2019-03,70909
Onondaga,2019-03,117079
Ontario,2019-03,21833
Orange,2019-03,102604
Orleans,2019-03,10560
Oswego,2019-03,32722
Otsego,2019-03,12697
Putnam,2019-03,13382
Queens,2019-03,915651
Rensselaer,2019-03,34682
Richmond,2019-03,139941
Rockland,2019-03,111323
Saratoga,2019-03,32665
Schenectady,2019-03,44467
Schoharie,2019-03,6837
Schuyler,2019-03,3770
Seneca,2019-03,7952
St. Lawrence,2019-03,28669
Steuben,2019-03,25214
Suffolk,2019-03,309870
Sullivan,2019-03,25647
Tioga,2019-03,11361
Tompkins,2019-03,15948
Ulster,2019-03,43986
Warren,2019-03,14996
Washington,2019-03,16289
Wayne,2019-03,21220
Westchester,2019-03,206639
Wyoming,2019-03,8533
Yates,2019-03,4977
Albany,2019-04,63301
Allegany,2019-04,12421
Bronx,2019-04,817776
Broome,2019-04,52313
Cattaraugus,2019-04,21570
Cayuga,2019-04,19381
Chautauqua,2019-04,37967
Chemung,2019-04,25393
Chenango,2019-04,13926
Clinton,2019-04,19604
Columbia,2019-04,14494
Cortland,2019-04,11801
Delaware,2019-04,10350
Dutchess,2019-04,56338
Erie,2019-04,235183
Essex,2019-04,8315
Franklin,2019-04,14357
Fulton,2019-04,14661
Genesee,2019-04,12525
Greene,2019-04,12265
Hamilton,2019-04,762
Herkimer,2019-04,16046
Jefferson,2019-04,28475
Kings,2019-04,1160042
Lewis,2019-04,5147
Livingston,2019-04,11926
Madison,2019-04,15886
Monroe,2019-04,195453
Montgomery,2019-04,18108
Nassau,2019-04,253407
New York,2019-04,437747
Niagara,2019-04,53013
Oneida,2019-04,70986
Onondaga,2019-04,116848
Ontario,2019-04,21826
Orange,2019-04,102543
Orleans,2019-04,10603
Oswego,2019-04,32669
Otsego,2019-04,12630
Putnam,2019-04,13393
Queens,2019-04,915625
Rensselaer,2019-04,34596
Richmond,2019-04,139912
Rockland,2019-04,111401
Saratoga,2019-04,32675
Schenectady,2019-04,44537
Schoharie,2019-04,6820
Schuyler,2019-04,3766
Seneca,2019-04,7961
St. Lawrence,2019-04,28549
Steuben,2019-04,25080
Suffolk,2019-04,309441
Sullivan,2019-04,25619
Tioga,2019-04,11387
Tompkins,2019-04,15910
Ulster,2019-04,43901
Warren,2019-04,14980
Washington,2019-04,16334
Wayne,2019-04,21127
Westchester,2019-04,206587
Wyoming,2019-04,8553
Yates,2019-04,4980
Albany,2019-05,63546
Allegany,2019-05,12380
Bronx,2019-05,817033
Broome,2019-05,52226
Cattaraugus,2019-05,21534
Cayuga,2019-05,19348
Chautauqua,2019-05,37925
Chemung,2019-05,25383
Chenango,2019-05,13871
Clinton,2019-05,19590
Columbia,2019-05,14498
Cortland,2019-05,11763
Delaware,2019-05,10367
Dutchess,2019-05,56497
Erie,2019-05,235504
Essex,2019-05,8270
Franklin,2019-05,14418
Fulton,2019-05,14723
Genesee,2019-05,12572
Greene,2019-05,12271
Hamilton,2019-05,763
Herkimer,2019-05,16029
Jefferson,2019-05,28469
Kings,2019-05,1160087
Lewis,2019-05,5151
Livingston,2019-05,12028
Madison,2019-05,15882
Monroe,2019-05,195549
Montgomery,2019-05,18124
Nassau,2019-05,253671
New York,2019-05,436778
Niagara,2019-05,53007
Oneida,2019-05,71176
Onondaga,2019-05,116866
Ontario,2019-05,21762
Orange,2019-05,102731
Orleans,2019-05,10705
Oswego,2019-05,32610
Otsego,2019-05,12594
Putnam,2019-05,13510
Queens,2019-05,916135
Rensselaer,2019-05,34684
Richmond,2019-05,140168
Rockland,2019-05,112174
Saratoga,2019-05,32740
Schenectady,2019-05,44433
Schoharie,2019-05,6849
Schuyler,2019-05,3757
Seneca,2019-05,7948
St. Lawrence,2019-05,28488
Steuben,2019-05,25071
Suffolk,2019-05,309635
Sullivan,2019-05,25726
Tioga,2019-05,11356
Tompkins,2019-05,15900
Ulster,2019-05,44140
Warren,2019-05,14966
Washington,2019-05,16358
Wayne,2019-05,21116
Westchester,2019-05,206662
Wyoming,2019-05,8647
Yates,2019-05,4939
Albany,2019-06,63562
Allegany,2019-06,12431
Bronx,2019-06,814855
Broome,2019-06,52162
Cattaraugus,2019-06,21547
